rapport_id;rapport_name;var;nederlands;frans
1;B2008_SIGNALETIC;B2008_table1;Tabel 1 : Aantal records (N) en de som van de aantallen per site, maand en per recordtype.;Tableau 1 : Nombre de records (N) et la somme des nombres par site, mois et type de record.
1;B2008_SIGNALETIC;B2008_table1a;Tabel 1a : Correcte gegevens.;Tableau 1a : Données correctes
1;B2008_SIGNALETIC;B2008_table1b;Tabel 1b : Fout in site of maand.;Tableau 1b : Erreurs dans site ou mois
1;B2008_SIGNALETIC;B2008_table2;Tabel 2 : Voor record type 'S0802' : Aantal records (N) en aantal bedden per kostenplaats en per maand.;Tableau 2 : Pour le type de record 'S0802' : Nombre de records (N) et nombre de lits par centre de frais et par mois.
1;B2008_SIGNALETIC;B2008_table2a;Tabel 2a : Correcte gegevens.;Tableau 2a : Données correctes
1;B2008_SIGNALETIC;B2008_table2b;Tabel 2b : Fout in kostenplaats;Tableau 2b : Erreurs dans centre de frais
1;B2008_SIGNALETIC;B2008_table3;Tabel 3 : Aantal erkende bedden per bedindex en per maand.;Tableau 3 : Nombre de lits agréés par index de lit et par mois
1;B2008_SIGNALETIC;B2008_table4;Tabel 4 : Vergelijking van het aantal erkende bedden per bedindex en het aantal bedden per kostenplaats.;Tableau 4 : Comparaison entre le nombre de lits agréés par index de lit et le nombre de lits par centres de frais
1;B2008_SIGNALETIC;B2008_table5;Tabel 5 : Aantal bevallingen en/of aantal gecolloceerden per budgettaire type.;Tableau 5 : Nombre d'accouchements et/ ou collocques par type budgétaire
1;B2008_SIGNALETIC;B2008_table5a;Tabel 5a : Correcte gegevens.;Tableau 5a : Données correctes
1;B2008_SIGNALETIC;B2008_table5b;Tabel 5b : Butgettaire type niet geldig voor dit ziekenhuis;Tableau 5b : Type budgétaire invalide pour cet hôpital
1;B2008_SIGNALETIC;Record_type_cd;Recordtype;Recordtype
1;B2008_SIGNALETIC;Sender_cd_lb;Erkenningsnummer;Nr d'agrément
1;B2008_SIGNALETIC;Year_lb;Jaar;Année
1;B2008_SIGNALETIC;Period_cd_lb;Période;Période
1;B2008_SIGNALETIC;item_01;Verzekeringsinstelling;Organisme assureur
1;B2008_SIGNALETIC;item_03;Type patient;Type de patient
1;B2008_SIGNALETIC;item_05;Maand;Mois
1;B2008_SIGNALETIC;item_13;Site;Site
1;B2008_SIGNALETIC;item_14;Type opname/transfer;Type d'admission/transfer
1;B2008_SIGNALETIC;item_15;Kostenplaats;Centre de frais
1;B2008_SIGNALETIC;item_02;Budgettaire type;Type budgétaire
1;B2008_SIGNALETIC;Tot;Totaal;Total
1;B2008_SIGNALETIC;Sum;Som;Somme
1;B2008_SIGNALETIC;Num;Aantal;Nombre
1;B2008_SIGNALETIC;Nlit;Aantal bedden;Nombre de lits
1;B2008_SIGNALETIC;LitAgr;Aantal erkende bedden;Nombre de lits agréés
1;B2008_SIGNALETIC;Sem;Semester;Semestre
1;B2008_SIGNALETIC;Bedindex;Bedindex;Index de lit
1;B2008_SIGNALETIC;cost;KP;CF
2;SF_CTRL_TECH;record_type_lb;Record Type;Le type de record
2;SF_CTRL_TECH;record_err_lb;Is niet gedefiniëerd voor deze collecte;n'est pas defini pour cette collecte
2;SF_CTRL_TECH;msg2_lb;Omschrijving;Description
2;SF_CTRL_TECH;dt_date_err_lb;moet een datum zijn met het formaat  <DDMMJJJJ>;doit être de type date et de la forme <JJMMAAAA>
2;SF_CTRL_TECH;dt_date_err2_lb;moet juist 8 karakters hebben;doit faire exactement 8 positions
2;SF_CTRL_TECH;dt_num_err_lb1a;moet numerisch zijn;doit être de type numerique et de
2;SF_CTRL_TECH;dt_num_err_lb1b;posities;position(s)
2;SF_CTRL_TECH;dt_num_err_lb2;moet numerisch zijn;doit être de type numerique
2;SF_CTRL_TECH;dt_num_err_lb3;maximaal;maximum
2;SF_CTRL_TECH;dt_num_err_lb4;is niet correct voor het deel voor of na de decimale punt voor het formaat;a une partie entière ou décimale incorrecte pour le format
2;SF_CTRL_TECH;mf_err_lb;moet (moeten) verschillend zijn van NULL of leeg;doit (doivent)  être différent de NULL ou vide
2;SF_CTRL_TECH;uf_err_lb;moet (moeten) NULL zijn of leeg;doit (doivent)  être NULL ou vide
2;SF_CTRL_TECH;no_err_lb;Een technische fout is opgetreden tijdens de technische controles;Une erreur technique est survenue lors des controles techniques
2;SF_CTRL_TECH;Type_report;Rapport technische controles;Rapport sur les controles techniques
2;SF_CTRL_TECH;foot;Directoraat-generaal Gezondheidszorg;Direction générale Soins de Santé
2;SF_CTRL_TECH;foot1;Dienst Financiering van de Ziekenhuizen;Service Financement des Hôpitaux
2;SF_CTRL_TECH;infos;Identificatie van het ziekenhuis;Identification de l'hôpital
2;SF_CTRL_TECH;title2_rt;Controle op het record type;Contrôle sur les types de record
2;SF_CTRL_TECH;title2_dt;Controle op het type en lengte van de gegevens;Contrôle sur les types et tailles des données
2;SF_CTRL_TECH;title2_mf;Controle op verwachte velden;Contrôles sur les champs attendus
2;SF_CTRL_TECH;title2_uf;Controle op onverwachte velden;Contrôles sur les champs inattendus
3;SFTRIM_SIGNALETIC;SFTRIM_table1;Tabel 1 : Aantal records (N) en de som van de aantallen per site, maand en per recordtype.;Tableau 1 : Nombre de records (N) et la somme des nombres par site, mois et type de record.
3;SFTRIM_SIGNALETIC;SFTRIM_table1a;Tabel 1a : Correcte gegevens.;Tableau 1a : Données correctes
3;SFTRIM_SIGNALETIC;SFTRIM_table1b;Tabel 1b : Fout in site of maand.;Tableau 1b : Erreurs dans site ou mois
3;SFTRIM_SIGNALETIC;SFTRIM_table2;Tabel 2 : Voor record type 'T0402' : Aantal records (N) en aantal bedden per kostenplaats en per maand.;Tableau 2 : Pour le type de record 'T0402' : Nombre de records (N) et nombre de lits par centre de frais et par mois.
3;SFTRIM_SIGNALETIC;SFTRIM_table2a;Tabel 2a : Correcte gegevens.;Tableau 2a : Données correctes
3;SFTRIM_SIGNALETIC;SFTRIM_table2b;Tabel 2b : Fout in kostenplaats;Tableau 2b : Erreurs dans centre de frais
3;SFTRIM_SIGNALETIC;SFTRIM_table3;Tabel 3 : Aantal erkende bedden per bedindex en per maand.;Tableau 3 : Nombre de lits agréés par index de lit et par mois
3;SFTRIM_SIGNALETIC;SFTRIM_table4;Tabel 4 : Vergelijking van het aantal erkende bedden per bedindex en het aantal bedden per kostenplaats.;Tableau 4 : Comparaison entre le nombre de lits agréés par index de lit et le nombre de lits par centres de frais
3;SFTRIM_SIGNALETIC;Record_type_cd;Recordtype;Recordtype
3;SFTRIM_SIGNALETIC;Sender_cd_lb;Erkenningsnummer;Nr d'agrément
3;SFTRIM_SIGNALETIC;Year_lb;Jaar;Année
3;SFTRIM_SIGNALETIC;Period_cd_lb;Période;Période
3;SFTRIM_SIGNALETIC;item_01;Verzekeringsinstelling;Organisme assureur
3;SFTRIM_SIGNALETIC;item_03;Type patient;Type de patient
3;SFTRIM_SIGNALETIC;item_05;Maand;Mois
3;SFTRIM_SIGNALETIC;item_13;Site;Site
